feature,importance
CADD_phred,245
DANN_score,208
fathmm-XF_coding_score,149
Eigen-phred_coding,134
ESM1b_score_std,105
BayesDel_addAF_score,72
dbNSFP_POPMAX_AF,69
ESM1b_score_mean,57
AlphaMissense_rankscore,55
phyloP470way_mammalian,55
MetaLR_score,50
ESM1b_score_max,50
REVEL_score_max,48
phyloP100way_vertebrate,44
phastCons100way_vertebrate,40
gnomAD4.1_joint_POPMAX_AF,38
BayesDel_addAF_score_was_na,31
gnomAD4.1_joint_AF,25
MutPred2_score_max,23
MutationAssessor_score_max,21
GERP++_RS,21
GERP_92_mammals,19
AlphaMissense_score_std,17
VEST4_score_max,14
M-CAP_score,13
AlphaMissense_score_mean,13
dbNSFP_POPMAX_AF_was_na,10
BayesDel_noAF_score,10
REVEL_score_count,8
gMVP_score_max,3
MetaSVM_score,3
MisFit_D_score_max,3
AlphaMissense_score_max,2
ESM1b_score_count,2
Eigen-raw_coding,1
MutationTaster_score_max,1
Polyphen2_HDIV_score_max,1
phastCons470way_mammalian,1
GERP_92_mammals_was_na,1
AlphaMissense_rankscore_was_na,1
SIFT_score_mean,1
M-CAP_score_was_na,1
REVEL_score_mean,0
Eigen-raw_coding_was_na,0
Eigen-phred_coding_was_na,0
BayesDel_noAF_score_was_na,0
MetaSVM_score_was_na,0
MetaLR_score_was_na,0
REVEL_score_std,0
AlphaMissense_score_count,0
gMVP_score_mean,0
MutationAssessor_score_mean,0
MutationAssessor_score_count,0
SIFT_score_std,0
SIFT_score_max,0
SIFT_score_count,0
popEVE_score_max,0
popEVE_score_mean,0
popEVE_score_std,0
MutPred2_score_std,0
MutPred2_score_mean,0
MutPred2_score_count,0
popEVE_score_count,0
gMVP_score_std,0
fathmm-XF_coding_score_was_na,0
gMVP_score_count,0
MutationTaster_score_mean,0
MisFit_D_score_mean,0
MisFit_D_score_count,0
VEST4_score_std,0
VEST4_score_mean,0
Polyphen2_HDIV_score_std,0
VEST4_score_count,0
Polyphen2_HDIV_score_count,0
Polyphen2_HDIV_score_mean,0
MutationAssessor_score_std,0
MutationTaster_score_count,0
MutationTaster_score_std,0
MisFit_D_score_std,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
gnomAD4.1_joint_AF_was_na,0
MANE_Empty,0
MANE_Select,0
