feature,importance
CADD_phred,290
dbNSFP_POPMAX_AF,223
MutationTaster_score_max,155
fathmm-XF_coding_score,151
BayesDel_addAF_score,148
gMVP_score_max,127
gnomAD4.1_joint_POPMAX_AF,127
AlphaMissense_rankscore,119
AlphaMissense_score_std,111
M-CAP_score,82
DANN_score,70
gnomAD4.1_joint_AF_was_na,69
MisFit_D_score_max,64
VEST4_score_std,59
VEST4_score_max,58
REVEL_score_max,57
ESM1b_score_std,54
MutationTaster_score_mean,52
ESM1b_score_mean,52
popEVE_score_mean,49
MutPred2_score_max,49
ESM1b_score_max,45
gnomAD4.1_joint_AF,44
AlphaMissense_score_mean,39
dbNSFP_POPMAX_AF_was_na,37
MutationAssessor_score_max,36
GERP++_RS,36
BayesDel_noAF_score,35
phyloP470way_mammalian,34
popEVE_score_max,34
BayesDel_addAF_score_was_na,34
MetaLR_score,33
ESM1b_score_count,30
SIFT_score_std,30
Eigen-phred_coding,27
SIFT_score_max,26
SIFT_score_mean,24
popEVE_score_std,23
Polyphen2_HDIV_score_max,23
MutationTaster_score_count,21
GERP_92_mammals,20
VEST4_score_mean,19
MutationTaster_score_std,17
phyloP100way_vertebrate,16
MetaSVM_score,15
phastCons100way_vertebrate,11
REVEL_score_count,11
phastCons470way_mammalian,8
VEST4_score_count,7
Polyphen2_HDIV_score_mean,7
MANE_Empty,7
Polyphen2_HDIV_score_count,5
Eigen-raw_coding,4
AlphaMissense_score_count,4
SIFT_score_count,4
REVEL_score_mean,3
phyloP470way_mammalian_was_na,3
Polyphen2_HDIV_score_std,3
fathmm-XF_coding_score_was_na,1
MANE_Select,1
MutationAssessor_score_count,1
MetaLR_score_was_na,0
gMVP_score_count,0
Eigen-raw_coding_was_na,0
Eigen-phred_coding_was_na,0
M-CAP_score_was_na,0
BayesDel_noAF_score_was_na,0
MetaSVM_score_was_na,0
REVEL_score_std,0
gMVP_score_std,0
MutationAssessor_score_std,0
MutationAssessor_score_mean,0
MutPred2_score_std,0
DANN_score_was_na,0
popEVE_score_count,0
AlphaMissense_rankscore_was_na,0
MutPred2_score_count,0
MutPred2_score_mean,0
AlphaMissense_score_max,0
gMVP_score_mean,0
MisFit_D_score_count,0
MisFit_D_score_mean,0
MisFit_D_score_std,0
GERP_92_mammals_was_na,0
GERP++_RS_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
